,Symbol,AD,ED,RD,AP,EP,RP
0,AAPL,2020-07-30,2020-08-24,2020-08-31,96.19000244140625,125.85749816894531,129.0399932861328
1,AAPL,2020-07-30,2020-08-07,2020-08-10,96.19000244140625,111.11250305175781,112.72750091552734
2,AAPL,2020-04-30,2020-05-08,2020-05-11,73.44999694824219,77.53250122070312,78.75250244140625
3,AAPL,2020-01-28,2020-02-07,2020-02-10,79.42250061035156,80.00749969482422,80.38749694824219
4,AAPL,2019-10-30,2019-11-07,2019-11-11,60.814998626708984,64.85749816894531,65.55000305175781
5,AAPL,2019-07-30,2019-08-09,2019-08-12,52.19499969482422,50.247501373291016,50.119998931884766
6,AAPL,2019-04-30,2019-05-10,2019-05-13,50.16749954223633,49.29499816894531,46.43000030517578
7,AAPL,2019-01-29,2019-02-08,2019-02-11,38.66999816894531,42.602500915527344,42.35749816894531
8,AAPL,2018-11-01,2018-11-08,2018-11-12,55.55500030517578,52.122501373291016,48.54249954223633
9,AAL,2020-01-22,2020-02-04,2020-02-05,27.31999969482422,28.43000030517578,29.100000381469727
10,AAL,2019-10-22,2019-11-05,2019-11-06,28.260000228881836,31.18000030517578,30.959999084472656
11,AAL,2019-07-24,2019-08-06,2019-08-07,34.59000015258789,28.360000610351562,28.6299991607666
12,AAL,2019-04-26,2019-05-07,2019-05-08,33.060001373291016,33.90999984741211,33.75
13,AAL,2019-01-23,2019-02-05,2019-02-06,31.649999618530273,36.93000030517578,36.7599983215332
14,AAL,2018-10-24,2018-11-05,2018-11-06,30.34000015258789,35.720001220703125,35.16999816894531
15,AAME,2019-03-26,2019-04-09,2019-04-10,2.559999942779541,2.3499999046325684,2.4800000190734863
16,AAP,2020-08-11,2020-09-17,2020-09-18,151.94000244140625,154.75999450683594,153.8800048828125
17,AAP,2020-05-19,2020-06-11,2020-06-13,-1.0,-1.0,-1.0
18,AAP,2020-02-12,2020-03-19,2020-03-20,134.32000732421875,85.97000122070312,75.02999877929688
19,AAP,2019-11-12,2019-12-19,2019-12-20,156.13999938964844,156.47999572753906,158.1199951171875
20,AAP,2019-08-07,2019-09-19,2019-09-20,144.0399932861328,152.8000030517578,155.69000244140625
21,AAP,2019-05-14,2019-06-20,2019-06-21,155.75,153.27000427246094,153.24000549316406
22,AAP,2019-02-11,2019-03-21,2019-03-22,165.1300048828125,169.07000732421875,164.83999633789062
23,AAP,2018-11-07,2018-12-20,2018-12-21,170.50999450683594,152.5,151.41000366210938
24,AAT,2020-07-28,2020-09-09,2020-09-10,26.84000015258789,25.299999237060547,25.139999389648438
25,AAT,2020-04-28,2020-06-10,2020-06-11,29.020000457763672,30.889999389648438,28.25
26,AAT,2020-02-11,2020-03-11,2020-03-12,46.060001373291016,35.63999938964844,30.420000076293945
27,AAT,2019-10-29,2019-12-11,2019-12-12,47.20000076293945,46.349998474121094,44.900001525878906
28,AAT,2019-07-30,2019-09-11,2019-09-12,46.939998626708984,46.810001373291016,47.13999938964844
29,AAT,2019-04-30,2019-06-12,2019-06-13,46.189998626708984,45.11000061035156,46.18000030517578
30,AAT,2019-02-12,2019-03-13,2019-03-14,43.58000183105469,46.20000076293945,46.119998931884766
31,AAT,2018-10-30,2018-12-12,2018-12-13,38.20000076293945,41.13999938964844,41.91999816894531
32,ABB,2020-02-28,2020-03-30,2020-03-31,21.639999389648438,17.350000381469727,17.260000228881836
33,ABB,2019-04-01,2019-05-06,2019-05-07,19.139999389648438,19.59000015258789,19.059999465942383
34,ABC,2020-08-05,2020-08-14,2020-08-17,103.5,103.75,103.41999816894531
35,ABC,2020-05-07,2020-05-15,2020-05-18,88.73999786376953,85.75,89.19999694824219
36,ABC,2020-01-30,2020-02-13,2020-02-14,88.87999725341797,94.5199966430664,94.36000061035156
37,ABC,2019-11-07,2019-11-15,2019-11-18,84.08000183105469,87.30000305175781,87.7699966430664
38,ABC,2019-08-08,2019-08-16,2019-08-19,87.88999938964844,87.33999633789062,87.75
39,ABC,2019-05-08,2019-05-17,2019-05-20,78.72000122070312,77.7300033569336,79.2300033569336
40,ABC,2019-02-05,2019-02-15,2019-02-19,85.7699966430664,86.66000366210938,86.8499984741211
