,Symbol,Div,AD,ED,RD,AP,EP,RP
0,AAPL,,2020-07-30,2020-08-24,2020-08-31,96.19000244140625,125.85749816894531,129.0399932861328
1,AAPL,0.82,2020-07-30,2020-08-07,2020-08-10,96.19000244140625,111.11250305175781,112.72750091552734
2,AAPL,0.82,2020-04-30,2020-05-08,2020-05-11,73.44999694824219,77.53250122070312,78.75250244140625
3,AAPL,0.77,2020-01-28,2020-02-07,2020-02-10,79.42250061035156,80.00749969482422,80.38749694824219
4,AAPL,0.77,2019-10-30,2019-11-07,2019-11-11,60.814998626708984,64.85749816894531,65.55000305175781
5,AAPL,0.77,2019-07-30,2019-08-09,2019-08-12,52.19499969482422,50.247501373291016,50.119998931884766
6,AAPL,0.77,2019-04-30,2019-05-10,2019-05-13,50.16749954223633,49.29499816894531,46.43000030517578
7,AAPL,0.73,2019-01-29,2019-02-08,2019-02-11,38.66999816894531,42.602500915527344,42.35749816894531
8,AAPL,0.73,2018-11-01,2018-11-08,2018-11-12,55.55500030517578,52.122501373291016,48.54249954223633
9,CAT,1.03,2020-06-10,2020-07-17,2020-07-20,132.44000244140625,136.89999389648438,134.6300048828125
10,CAT,1.03,2020-04-08,2020-04-17,2020-04-20,127.4000015258789,116.30000305175781,114.5999984741211
11,CAT,1.03,2019-12-11,2020-01-17,2020-01-21,144.0,147.77999877929688,145.85000610351562
12,CAT,1.03,2019-10-09,2019-10-18,2019-10-21,119.44000244140625,130.7100067138672,132.22999572753906
13,CAT,1.03,2019-05-02,2019-07-19,2019-07-22,135.1699981689453,136.22999572753906,135.24000549316406
14,CAT,0.86,2019-04-10,2019-04-18,2019-04-22,137.52999877929688,143.36000061035156,142.3800048828125
15,CAT,0.86,2018-12-12,2019-01-18,2019-01-22,125.37000274658203,136.60000610351562,132.24000549316406
16,CAT,0.86,2018-10-10,2018-10-19,2018-10-22,143.72000122070312,131.32000732421875,128.7100067138672
17,AAL,0.1,2020-01-22,2020-02-04,2020-02-05,27.31999969482422,28.43000030517578,29.100000381469727
18,AAL,0.1,2019-10-22,2019-11-05,2019-11-06,28.260000228881836,31.18000030517578,30.959999084472656
19,AAL,0.1,2019-07-24,2019-08-06,2019-08-07,34.59000015258789,28.360000610351562,28.6299991607666
20,AAL,0.1,2019-04-26,2019-05-07,2019-05-08,33.060001373291016,33.90999984741211,33.75
21,AAL,0.1,2019-01-23,2019-02-05,2019-02-06,31.649999618530273,36.93000030517578,36.7599983215332
22,AAL,0.1,2018-10-24,2018-11-05,2018-11-06,30.34000015258789,35.720001220703125,35.16999816894531
23,AAME,0.02,2019-03-26,2019-04-09,2019-04-10,2.559999942779541,2.3499999046325684,2.4800000190734863
24,AAP,0.25,2020-08-11,2020-09-17,2020-09-18,151.94000244140625,154.75999450683594,153.8800048828125
26,AAP,0.25,2020-02-12,2020-03-19,2020-03-20,134.32000732421875,85.97000122070312,75.02999877929688
27,AAP,0.06,2019-11-12,2019-12-19,2019-12-20,156.13999938964844,156.47999572753906,158.1199951171875
28,AAP,0.06,2019-08-07,2019-09-19,2019-09-20,144.0399932861328,152.8000030517578,155.69000244140625
29,AAP,0.06,2019-05-14,2019-06-20,2019-06-21,155.75,153.27000427246094,153.24000549316406
30,AAP,0.06,2019-02-11,2019-03-21,2019-03-22,165.1300048828125,169.07000732421875,164.83999633789062
31,AAP,0.06,2018-11-07,2018-12-20,2018-12-21,170.50999450683594,152.5,151.41000366210938
32,AAT,0.25,2020-07-28,2020-09-09,2020-09-10,26.84000015258789,25.299999237060547,25.139999389648438
33,AAT,0.2,2020-04-28,2020-06-10,2020-06-11,29.020000457763672,30.889999389648438,28.25
34,AAT,0.3,2020-02-11,2020-03-11,2020-03-12,46.060001373291016,35.63999938964844,30.420000076293945
35,AAT,0.3,2019-10-29,2019-12-11,2019-12-12,47.20000076293945,46.349998474121094,44.900001525878906
36,AAT,0.28,2019-07-30,2019-09-11,2019-09-12,46.939998626708984,46.810001373291016,47.13999938964844
37,AAT,0.28,2019-04-30,2019-06-12,2019-06-13,46.189998626708984,45.11000061035156,46.18000030517578
38,AAT,0.28,2019-02-12,2019-03-13,2019-03-14,43.58000183105469,46.20000076293945,46.119998931884766
39,AAT,0.28,2018-10-30,2018-12-12,2018-12-13,38.20000076293945,41.13999938964844,41.91999816894531
40,ABB,0.825207,2020-02-28,2020-03-30,2020-03-31,21.639999389648438,17.350000381469727,17.260000228881836
41,ABB,0.786311,2019-04-01,2019-05-06,2019-05-07,19.139999389648438,19.59000015258789,19.059999465942383
42,ABC,0.42,2020-08-05,2020-08-14,2020-08-17,103.5,103.75,103.41999816894531
43,ABC,0.42,2020-05-07,2020-05-15,2020-05-18,88.73999786376953,85.75,89.19999694824219
44,ABC,0.42,2020-01-30,2020-02-13,2020-02-14,88.87999725341797,94.5199966430664,94.36000061035156
45,ABC,0.4,2019-11-07,2019-11-15,2019-11-18,84.08000183105469,87.30000305175781,87.7699966430664
46,ABC,0.4,2019-08-08,2019-08-16,2019-08-19,87.88999938964844,87.33999633789062,87.75
47,ABC,0.4,2019-05-08,2019-05-17,2019-05-20,78.72000122070312,77.7300033569336,79.2300033569336
48,ABC,0.4,2019-02-05,2019-02-15,2019-02-19,85.7699966430664,86.66000366210938,86.8499984741211
49,ABC,0.4,2018-11-06,2018-11-16,2018-11-19,84.0,88.75,90.81999969482422
50,ABEV,0.120835,2019-12-04,2019-12-20,2019-12-23,4.320000171661377,4.570000171661377,4.579999923706055
52,ABTX,0.1,2020-07-23,2020-08-28,2020-08-31,24.190000534057617,26.549999237060547,25.420000076293945
53,ABTX,0.1,2020-04-23,2020-05-28,2020-05-29,22.450000762939453,26.219999313354492,25.610000610351562
54,ABTX,0.1,2020-01-29,2020-02-27,2020-02-28,37.77000045776367,34.0,33.16999816894531
55,AC,0.1,2020-05-05,2020-06-15,2020-06-16,36.019901275634766,35.94029998779297,37.46268844604492
56,AC,0.1,2019-11-08,2019-12-24,2019-12-26,38.766170501708984,38.248756408691406,39.10447692871094
57,AC,0.1,2019-05-07,2019-06-17,2019-06-18,40.35820770263672,36.825870513916016,35.49253845214844
58,AC,0.1,2018-11-06,2018-12-24,2018-12-26,43.840797424316406,35.29353332519531,35.90049743652344
59,ACC,0.47,2020-07-29,2020-08-07,2020-08-10,36.099998474121094,34.869998931884766,35.04999923706055
