,Symbol,AD,ED,RD
0,AAPL,2020-07-30,2020-08-24,2020-08-31
1,AAPL,2020-07-30,2020-08-07,2020-08-10
2,AAPL,2020-04-30,2020-05-08,2020-05-11
3,AAPL,2020-01-28,2020-02-07,2020-02-10
4,AAPL,2019-10-30,2019-11-07,2019-11-11
5,AAPL,2019-07-30,2019-08-09,2019-08-12
6,AAPL,2019-04-30,2019-05-10,2019-05-13
7,AAPL,2019-01-29,2019-02-08,2019-02-11
8,AAPL,2018-11-01,2018-11-08,2018-11-12
9,AAL,2020-01-22,2020-02-04,2020-02-05
10,AAL,2019-10-22,2019-11-05,2019-11-06
11,AAL,2019-07-24,2019-08-06,2019-08-07
12,AAL,2019-04-26,2019-05-07,2019-05-08
13,AAL,2019-01-23,2019-02-05,2019-02-06
14,AAL,2018-10-24,2018-11-05,2018-11-06
15,AAME,2019-03-26,2019-04-09,2019-04-10
16,AAP,2020-08-11,2020-09-17,2020-09-18
17,AAP,2020-05-19,2020-06-11,2020-06-13
18,AAP,2020-02-12,2020-03-19,2020-03-20
19,AAP,2019-11-12,2019-12-19,2019-12-20
20,AAP,2019-08-07,2019-09-19,2019-09-20
21,AAP,2019-05-14,2019-06-20,2019-06-21
22,AAP,2019-02-11,2019-03-21,2019-03-22
23,AAP,2018-11-07,2018-12-20,2018-12-21
24,AAT,2020-07-28,2020-09-09,2020-09-10
25,AAT,2020-04-28,2020-06-10,2020-06-11
26,AAT,2020-02-11,2020-03-11,2020-03-12
27,AAT,2019-10-29,2019-12-11,2019-12-12
28,AAT,2019-07-30,2019-09-11,2019-09-12
29,AAT,2019-04-30,2019-06-12,2019-06-13
30,AAT,2019-02-12,2019-03-13,2019-03-14
31,AAT,2018-10-30,2018-12-12,2018-12-13
32,ABB,2020-02-28,2020-03-30,2020-03-31
33,ABB,2019-04-01,2019-05-06,2019-05-07
34,ABC,2020-08-05,2020-08-14,2020-08-17
35,ABC,2020-05-07,2020-05-15,2020-05-18
36,ABC,2020-01-30,2020-02-13,2020-02-14
37,ABC,2019-11-07,2019-11-15,2019-11-18
38,ABC,2019-08-08,2019-08-16,2019-08-19
39,ABC,2019-05-08,2019-05-17,2019-05-20
40,ABC,2019-02-05,2019-02-15,2019-02-19
41,ABC,2018-11-06,2018-11-16,2018-11-19
42,ABEV,2019-12-04,2019-12-20,2019-12-23
43,ABEV,2018-12-05,2018-12-19,2018-12-20
44,ABTX,2020-07-23,2020-08-28,2020-08-31
45,ABTX,2020-04-23,2020-05-28,2020-05-29
46,ABTX,2020-01-29,2020-02-27,2020-02-28
47,AC,2020-05-05,2020-06-15,2020-06-16
48,AC,2019-11-08,2019-12-24,2019-12-26
49,AC,2019-05-07,2019-06-17,2019-06-18
50,AC,2018-11-06,2018-12-24,2018-12-26
51,ACC,2020-07-29,2020-08-07,2020-08-10
52,ACC,2020-04-29,2020-05-08,2020-05-11
53,ACC,2020-01-20,2020-01-29,2020-01-30
54,ACC,2019-10-31,2019-11-07,2019-11-11
55,ACC,2019-07-31,2019-08-09,2019-08-12
56,ACC,2019-05-01,2019-05-10,2019-05-13
57,ACC,2019-01-22,2019-01-31,2019-02-01
58,ACC,2018-10-31,2018-11-08,2018-11-12
59,ACCO,2020-08-06,2020-08-25,2020-08-26
60,ACCO,2020-05-04,2020-05-26,2020-05-27
61,ACCO,2020-02-18,2020-03-17,2020-03-18
62,ACCO,2019-10-29,2019-11-27,2019-11-29
63,ACCO,2019-07-31,2019-08-22,2019-08-23
64,ACCO,2019-05-02,2019-05-23,2019-05-24
65,ACCO,2019-02-13,2019-03-14,2019-03-15
66,ACCO,2018-10-30,2018-11-29,2018-11-30
67,ACET,2018-09-12,2018-09-21,2018-09-24
68,ACET,2018-05-03,2018-06-07,2018-06-08
69,ACET,2018-02-01,2018-03-08,2018-03-09
70,ACET,2017-12-07,2017-12-15,2017-12-18
71,ACGLP,2020-05-15,2020-09-14,2020-09-15
72,ACGLP,2020-05-15,2020-06-12,2020-06-15
73,ACGLP,2020-02-27,2020-03-12,2020-03-15
74,ACGLP,2019-11-08,2019-12-12,2019-12-15
75,ACGLP,2019-05-08,2019-09-12,2019-09-15
76,ACGLP,2019-05-08,2019-06-13,2019-06-15
77,ACGLP,2019-02-27,2019-03-14,2019-03-15
78,ACGLP,2018-11-09,2018-12-13,2018-12-15
79,ACIO,2020-09-14,2020-09-15,2020-09-16
80,ACIO,2020-03-16,2020-03-17,2020-03-18
81,ACIO,2019-12-27,2019-12-30,2019-12-31
82,ACIO,2019-09-16,2019-09-17,2019-09-18
83,ACN,2020-09-24,2020-10-09,2020-10-13
84,ACN,2020-06-24,2020-07-15,2020-07-16
85,ACN,2020-03-18,2020-04-15,2020-04-16
86,ACN,2019-12-19,2020-01-15,2020-01-16
87,ACN,2019-09-26,2019-10-16,2019-10-17
88,ACN,2018-09-27,2018-10-17,2018-10-18
89,ACP,2020-09-10,2020-09-18,2020-09-21
90,ACP,2020-08-11,2020-08-20,2020-08-21
91,ACP,2020-07-10,2020-07-17,2020-07-20
92,ACP,2020-06-09,2020-06-18,2020-06-19
93,ACP,2020-05-11,2020-05-20,2020-05-21
94,ACP,2020-04-09,2020-04-17,2020-04-20
95,ACP,2020-03-10,2020-03-19,2020-03-20
96,ACP,2020-02-11,2020-02-20,2020-02-21
97,ACP,2020-01-10,2020-01-17,2020-01-21
98,ACP,2019-12-10,2019-12-30,2019-12-31
99,ACP,2019-10-25,2019-11-04,2019-11-05
100,ACP,2019-10-09,2019-10-18,2019-10-21
101,ACP,2019-09-11,2019-09-20,2019-09-23
102,ACP,2019-08-09,2019-08-16,2019-08-19
103,ACP,2019-07-10,2019-07-19,2019-07-22
104,ACP,2019-06-11,2019-06-20,2019-06-21
105,ACP,2019-05-09,2019-05-21,2019-05-22
106,ACP,2019-04-09,2019-04-18,2019-04-22
107,ACP,2019-03-11,2019-03-20,2019-03-21
108,ACP,2019-02-11,2019-02-20,2019-02-21
109,ACP,2019-01-10,2019-01-22,2019-01-23
110,ACP,2018-12-11,2018-12-28,2018-12-31
111,ACP,2018-11-09,2018-11-16,2018-11-19
112,ACP,2018-10-09,2018-10-18,2018-10-19
113,ACSG,2020-06-25,2020-06-26,2020-06-29
114,ACSG,2019-12-17,2019-12-18,2019-12-19
115,ACSG,2019-12-06,2019-12-09,2019-12-18
116,ACSG,2019-06-27,2019-06-28,2019-07-01
117,ACSG,2018-12-18,2018-12-19,2018-12-20
118,ACU,2020-09-17,2020-09-30,2020-10-01
119,ACU,2020-03-26,2020-04-03,2020-04-06
120,ACU,2019-12-18,2020-01-07,2020-01-08
121,ACU,2019-09-16,2019-09-30,2019-10-01
122,ACU,2019-06-19,2019-07-01,2019-07-02
123,ACU,2019-03-21,2019-04-01,2019-04-02
124,ACU,2018-11-14,2019-01-07,2019-01-08
125,ACWF,2019-12-13,2020-06-15,2020-06-16
126,ACWF,2018-12-26,2019-12-30,2019-12-31
127,ACWF,2018-12-26,2019-12-16,2019-12-17
128,ACWF,2018-12-26,2019-06-17,2019-06-18
129,ACWF,2018-01-22,2018-12-28,2018-12-31
130,ACWF,2017-12-30,2018-12-18,2018-12-19
131,ACWV,2019-12-13,2020-06-15,2020-06-16
132,ACWV,2018-12-26,2019-12-30,2019-12-31
133,ACWV,2018-12-26,2019-12-16,2019-12-17
134,ACWV,2018-12-26,2019-06-17,2019-06-18
135,ACWV,2018-01-18,2018-12-28,2018-12-31
136,ACWV,2018-12-17,2018-12-18,2018-12-19
137,ADFI,2020-09-18,2020-09-21,2020-09-22
138,ADM,2020-08-05,2020-08-18,2020-08-19
139,ADM,2020-05-06,2020-05-19,2020-05-20
140,ADM,2020-01-30,2020-02-12,2020-02-13
141,ADM,2019-11-07,2019-11-20,2019-11-21
142,ADM,2019-08-08,2019-08-21,2019-08-22
143,ADM,2019-05-01,2019-05-14,2019-05-15
144,ADM,2019-02-05,2019-02-15,2019-02-19
145,ADM,2018-11-08,2018-11-21,2018-11-23
146,ADME,2020-09-14,2020-09-15,2020-09-16
147,ADME,2020-03-16,2020-03-17,2020-03-18
148,ADME,2019-12-23,2019-12-24,2019-12-26
149,ADME,2018-12-27,2018-12-28,2018-12-31
150,ADP,2020-08-05,2020-09-10,2020-09-11
151,ADP,2020-04-08,2020-06-11,2020-06-12
152,ADP,2020-01-15,2020-03-12,2020-03-13
153,ADP,2019-11-12,2019-12-12,2019-12-13
154,ADP,2019-08-06,2019-09-12,2019-09-13
155,ADP,2019-04-03,2019-06-13,2019-06-14
156,ADP,2019-01-15,2019-03-07,2019-03-08
157,ADP,2018-11-06,2018-12-13,2018-12-14
158,ADRE,2020-09-18,2020-09-21,2020-09-22
159,ADRE,2020-06-19,2020-06-22,2020-06-23
160,ADRE,2020-03-20,2020-03-23,2020-03-24
161,ADRE,2019-12-20,2019-12-23,2019-12-24
162,ADRE,2019-09-20,2019-09-23,2019-09-24
163,ADRE,2019-06-21,2019-06-24,2019-06-25
164,ADRE,2018-12-21,2018-12-24,2018-12-26
