,Symbol,Div,AD,ED,RD
0,AAPL,,2020-07-30,2020-08-24,2020-08-31
1,AAPL,0.82,2020-07-30,2020-08-07,2020-08-10
2,AAPL,0.82,2020-04-30,2020-05-08,2020-05-11
3,AAPL,0.77,2020-01-28,2020-02-07,2020-02-10
4,AAPL,0.77,2019-10-30,2019-11-07,2019-11-11
5,AAPL,0.77,2019-07-30,2019-08-09,2019-08-12
6,AAPL,0.77,2019-04-30,2019-05-10,2019-05-13
7,AAPL,0.73,2019-01-29,2019-02-08,2019-02-11
8,AAPL,0.73,2018-11-01,2018-11-08,2018-11-12
9,CAT,1.03,2020-06-10,2020-07-17,2020-07-20
10,CAT,1.03,2020-04-08,2020-04-17,2020-04-20
11,CAT,1.03,2019-12-11,2020-01-17,2020-01-21
12,CAT,1.03,2019-10-09,2019-10-18,2019-10-21
13,CAT,1.03,2019-05-02,2019-07-19,2019-07-22
14,CAT,0.86,2019-04-10,2019-04-18,2019-04-22
15,CAT,0.86,2018-12-12,2019-01-18,2019-01-22
16,CAT,0.86,2018-10-10,2018-10-19,2018-10-22
17,AAL,0.1,2020-01-22,2020-02-04,2020-02-05
18,AAL,0.1,2019-10-22,2019-11-05,2019-11-06
19,AAL,0.1,2019-07-24,2019-08-06,2019-08-07
20,AAL,0.1,2019-04-26,2019-05-07,2019-05-08
21,AAL,0.1,2019-01-23,2019-02-05,2019-02-06
22,AAL,0.1,2018-10-24,2018-11-05,2018-11-06
23,AAME,0.02,2019-03-26,2019-04-09,2019-04-10
24,AAP,0.25,2020-08-11,2020-09-17,2020-09-18
25,AAP,0.25,2020-05-19,2020-06-11,2020-06-13
26,AAP,0.25,2020-02-12,2020-03-19,2020-03-20
27,AAP,0.06,2019-11-12,2019-12-19,2019-12-20
28,AAP,0.06,2019-08-07,2019-09-19,2019-09-20
29,AAP,0.06,2019-05-14,2019-06-20,2019-06-21
30,AAP,0.06,2019-02-11,2019-03-21,2019-03-22
31,AAP,0.06,2018-11-07,2018-12-20,2018-12-21
32,AAT,0.25,2020-07-28,2020-09-09,2020-09-10
33,AAT,0.2,2020-04-28,2020-06-10,2020-06-11
34,AAT,0.3,2020-02-11,2020-03-11,2020-03-12
35,AAT,0.3,2019-10-29,2019-12-11,2019-12-12
36,AAT,0.28,2019-07-30,2019-09-11,2019-09-12
37,AAT,0.28,2019-04-30,2019-06-12,2019-06-13
38,AAT,0.28,2019-02-12,2019-03-13,2019-03-14
39,AAT,0.28,2018-10-30,2018-12-12,2018-12-13
40,ABB,0.825207,2020-02-28,2020-03-30,2020-03-31
41,ABB,0.786311,2019-04-01,2019-05-06,2019-05-07
42,ABC,0.42,2020-08-05,2020-08-14,2020-08-17
43,ABC,0.42,2020-05-07,2020-05-15,2020-05-18
44,ABC,0.42,2020-01-30,2020-02-13,2020-02-14
